Reference	Sentence	Itkonen	Matrix	Embed	Case	Note
suntuubi.com	<s> Yhdessä Missourin kanssa alukset tulittivat Faylakan saarta tarkoituksenaan harhauttaa irakilaisia luulemaan tulossa olevan maihinnousun. </s>	TRUE	ACT	EXIST	GEN	"matrix ""luulemaan, nonfinite"
vikakerta.fi	<s> Kehuin häntä ja hän sanoi suihinoton olevan suosikkinsa. </s>	FALSE 				TRUE but ambiguous NOM/GEN
enterprisesuomi.fi	<s> Suurin osa asiakaskunnasta on käynyt Kuokkasen luona useita vuosia ja hän kertoo vakioasiakkaan olevan siunaus. – Toivotan niin uudet kuin vanhatkin asiakkaat lämpimästi tervetulleiksi meille nauttimaan monipuolisista kauneuspalveluistamme. </s>	TRUE	ACT	PRED	NOM	
blogspot.fi	"<s> Mutta se pelisääntö on reilu, että postauksessa saa kertoa kyseessä olevan yhteistyö! </s>"	TRUE	ACT	EXIST	NOM	
uusisuomi.fi	<s> Kesken rapsutuksen viereen ilmestyi kolme poliisia ja kertoi koiran olevan huume-koira. </s>	TRUE	ACT	PRED	NOM	
city.fi	"<s> Koeasetelmassa opettajat antoivat samasta vastauksesta paremmat pisteet, kun luulivat vastaajan olevan poika kuin silloin kun luulivat vastaajan olevan tyttö. </s>"	TRUE	ACT	PRED	NOM/NOM	two examples!
ellit.fi	"<s> Kummastelin autossa lojuvia naisten kenkäpareja, mutta hän kertoi auton olevan äidin. </s>"	FALSE 				ellipsis
suntuubi.com	"<s> Vampyyrijumala, se sanoi Lucyn olevan jumala. </s>"	TRUE	ACT	PRED	NOM	
verkata.com	"<s> Väestöstä 63,5 % kertoi äidinkielensä olevan serbia. </s>"	TRUE	ACT	PRED	NOM	
suntuubi.com	<s> Cassie sanoi paikan olevan yllätys. </s>	TRUE	ACT	PRED	NOM	
freehostia.com	"<s> Kun Marlena tuli raskaaksi, hän luuli lapsen olevan Romanin. </s>"	FALSE 				ellipsis
stipendiblogi.fi	<s> Todella tärkeistä uutisaiheista ei luulisi nykymaailmassa olevan puute. </s>	FALSE 				"NP is ""puute"""
perhoboxi.com	"<s> Esitin hänelle asiani, ei suostunut hänkään, mutta sanoi vaimon olevan eläinlääkäri. </s>"	TRUE	ACT	PRED	NOM	
teleportaasi.fi	"<s> Mikä on Exoduksen erikoisuus? – Meillä ei ole mitään erikoisjuomia, mutta sanoisin erikoisuuden olevan musiikki. </s>"	TRUE	ACT	PRED	NOM	
bellablogit.fi	<s> Kiihkoilijaksi en tunnustaudu ja kysyttäessä toki kerron lapsen olevan poika. </s>	TRUE	ACT	PRED	NOM	
shoutwiki.com	"<s> Sairaanhoitajat kertoivat planeetan olevan Maa . Ja hänen vieressään oli maannut toinen mies, joka oli esitellyt itsensä hänelle Jack D. </s>"	TRUE	ACT	PRED	NOM	
siemens.fi	"<s> Kuten kaikki SITOP SMART teholähteet, uudet yksivaiheiset PSU100S teholähteet omaavat potentiaali vapaan signaalikontaktin kertomaan ulostulojännitteen olevan OK. </s>"	TRUE	ACT	PRED	NOM	"NP is ""OK"", matrix ""kertomaan"", nonfinite"
jyu.fi	"<s> Käytännössä hyödyllinen voisi olla lähinnä charmap , joka kertoo käytössä olevan merkistön. </s>"	FALSE 				This is ambiguous; the Itkonen reading is very unlikely
omakustanne.fi	"<s> Meri tarkoitti etelää, ja etelätuulen puhaltaessa sanottiin tuulen olevan meresä. </s>"	FALSE 				NP is INE
kauppalehti.fi	<s> Sanot aluepolitiikan olevan vika. </s>	TRUE	ACT	PRED	NOM	
nic.fi	<s> Hän pyytää apua ja sanoo kyseessä olevan hätätilanne. </s>	TRUE	ACT	EXIST	NOM	"""kyseessä olevan"" NP"
nettisanomat.fi	<s> Edelleen tietokulma kertoo virhemarginaalin olevan v? h?n yli kolme prosenttiyksikk??. </s>	FALSE 				NP is a numeral
wikipedia.org	"<s> "", isä sanoi lampun olevan rikki. </s>"	FALSE 				"NP is ""rikki"""
hannuoskala.fi	"<s> Tänään uutisoitiin Uschanovinkin kirjassaan mainitsema tieto siitä, että kolmannes suomalaisista luulee demareiden olevan hallituspuolue. </s>"	TRUE	ACT	PRED	NOM	
fffin.com	"<s> Vasempaan polveen 6kpl (tapaus oli niin että löin itseäni vesurilla [niille jotka asuvat *piip* voin kertoa vesurin olevan n. 30cm terällä varustettu, ranteen paksuisten puiden pilkkomiseen tarkoitettu kirveen sukulainen]). </s>"	TRUE	ACT	PRED	NOM	
filmgoer.fi	"<s> Micah''n vastustuksesta huolimatta Katie kutsuu kylään meedion, joka kertoo kyseessä olevan demoni. </s>"	TRUE	ACT	EXIST	NOM	"""kyseessä olevan"" NP"
munpalsta.com	"<s> Ääni oli kait Sadien, se kertoo lääkärin olevan mörkö. </s>"	TRUE	ACT	PRED	NOM	
blogspot.fi	<s> Toivoisin elämän olevan seikkailu. </s>	TRUE	ACT	PRED	NOM	
oikeus.fi	<s> A on kertonut ammattinsa olevan muusikko. </s>	TRUE	ACT	PRED	NOM	
geekgirls.fi	"<s> Sanotaan näin, että jollei kyseessä olisi Space Hulk väittäisin pelin olevan rikki. </s>"	FALSE 				"NP is ""rikki"""
konnunkodon.fi	"<s> Tekee järkyttävän pahaa ajatella, että maailman sivu esimerkiksi valkoisena syntyneitä boksereita on surutta lopetettu vastasyntyneitä, koska rotumääritelmä sanoo värin olevan virhe. </s>"	TRUE	ACT	PRED	NOM	
feissarimokat.com	"<s> Piti lukea juttu moneen kertaan, mutta en mä ainakaan missään kohtaa huomannut, että kerrottaisiin kirjoittajan olevan nainen. </s>"	TRUE	PASS	PRED	NOM	
plaza.fi	"<s> Erittäin suuressa määrin voi sanoa kyseessä olevan makuasian. ;) Mutta vakavasti puhuen, kannibalismiin yleensä liittyy toisen ihmisen suunnitelmallinen tappaminen (ei niitä vanhuuteen tai tapaturmaisesti kuolleita syödä). </s>"	TRUE	ACT	EXIST	GEN	"""kyseessä olevan"" NP"
blogspot.fi	<s> Kokkonen kertoo kysymyksessä olevan anttikristus. </s>	TRUE	ACT	EXIST	NOM	"""kysymyksessä olevan"" NP"
nettiet.fi	"<s> Pit tulla ilmottautumaan, ettettä luule miun olevan suutuksis. </s>"	FALSE 				"NP is ""suutuksissa"""
blogspot.fi	<s> Nyt jos koskaan toivoisin Venäjän olevan Äiti-Venäjä. </s>	TRUE	ACT	PRED	NOM	
blogspot.fi	"<s> Mielenkiintoista muuten on, että jos mies keräilisi tolkuttomasti kenkiä ja valokuvailisi niitä nettiin, sanottaisiin kyseessä olevan kenkäfetissi. </s>"	TRUE	PASS	EXIST	NOM	
flockler.com	"<s> Nimittäin tässä tilaisuudessa tuli esiin, että niiin Kreikassa kuin myös Portugalissa on viety rahaa rutkasti veropara-tiiseihin, Portugalissa arvellaan summan olevan n. 130 miljardia euroa eli niistä jäämättä saadut verotulot ovat huomattava summa. </s>"	FALSE 				NP is a numeral
blogspot.fi	<s> Esimerkiksi tämän artikkelin ensimmäinen kommentoija TOIVOI jutun olevan vitsi. </s>	TRUE	ACT	PRED	NOM	
suntuubi.com	"<s> Muistin, että olin kuullut jonkin sanovan maastossa olevan rannan. </s>"	TRUE	ACT	EXIST	GEN	"matrix ""sanovan"", nonfinite,  a recursive Itkonen structure"
voima.fi	"<s> Odotan haastattelun alkua Amnesty Internationalin Suomen-päämajassa Helsingissä ja hipelöin paitoja, pinssejä sekä koruja, jotka kertovat rakkauden olevan ihmisoikeus. </s>"	TRUE	ACT	PRED	NOM	
mtv.fi	<s> On sitten sama ryhtyä väittämään maapallon olevan pannukakku. </s>	TRUE	ACT	PRED	NOM	"matrix is ""väittämään"", nonfinite"
iltasanomat.fi	"<s> Ja nyt Ben tykkää Sebusta tosi paljon, kun Sebu sanoi Benin olevan supersankari. </s>"	TRUE	ACT	PRED	NOM	
suntuubi.com	<s> Dottie ei ilmeisesti kuullut risausta ja luullut munan olevan kuoriutumassa. </s>	FALSE 				"NP is ""kuoriutumassa"""
wordpress.com	"<s> Kuten kuinka trollausherkkiä rasti ruutuun- kyselyn tulokset voivat olla, kuinka ympäripyöreitä kysymykset ovat sekä kuinka kyseenalaistettava paikka ilmiötä on tutkia imageboardilla jossa joka toinen luulee ilmiön olevan vitsi. </s>"	TRUE	ACT	PRED	NOM	
hardware.fi	"<s> OcUK kertoo suositushinnan olevan n. 350£, mikä tarkoittanee Suomessa n. 450 euron hintalappua. </s>"	FALSE 				NP is a numeral
plaza.fi	"<s> Onko missään kielessä jotain sellaista kirjaimeen (konsonanttiin) lisättävää koukeroa, joka kertoo kyseessä olevan kaksoiskonsonantti? </s>"	TRUE	ACT	EXIST	NOM	"""kyseessä olevan"" NP"
blogspot.cz	"<s> Olen 22-vuotias cosplayn harrastaja, vaikkakin tunteita säästämättä voisin jopa sanoa cosplayn olevan elämäntapa. </s>"	TRUE	ACT	PRED	NOM	
blogspot.fi	<s> Viittaamassasi linkissä väitetään Krugerin olevan tiedemiehen. </s>	TRUE	PASS	PRED	GEN	
blogspot.fi	"<s> Se ei IKINÄ ole kirjastossa paikalla eikä se ole aiemmin tullut missään kaupassakaan vastaan, siksipä luulin painoksenkin olevan loppu. </s>"	FALSE 				"NP is ""loppu"""
blogspot.fi	<s> paitsi kaksi on sanonut tulokkaan olevan poika. </s>	TRUE	ACT	PRED	NOM	
suomi24.fi	"<s> Nyppii suunnattomasti HYVÄ HYVÄ kommentit, ei kukaan ole niin sokea että vois sanoa asioiden olevan ok. </s>"	TRUE	ACT	PRED	NOM	"NP is ""ok"""
blogspot.fi	<s> He kutsuvat sitä tieteeksi koska toivovat plasebon olevan plasebota. </s>	FALSE 				NP is PAR
